"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"804430093095346176","","","2016-12-01 21:00:54 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","My Digital Travel for Seniors #Que https://t.co/6i8fyFinxl #Photography","","","","https://www.safaribooksonline.com/library/view/my-digital-travel/9780134587684/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804430079103115264","","","2016-12-01 21:00:51 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","Build Complex Express Sites with Redis and Socket.io #PacktPublishing https://t.co/YvWsesa9Kf #Redis","","","","https://www.safaribooksonline.com/library/view/build-complex-express/9781786468772/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804430065001852928","","","2016-12-01 21:00:47 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","Programming Languages for Data Science (Julia, Scala, Python, and R) #TechnicsPublications https://t.co/NIGQtiFitt #R","","","","https://www.safaribooksonline.com/library/view/programming-languages-for/9781634621915/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804430051034820609","","","2016-12-01 21:00:44 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","Creating 3D VR Games with Unity #InfiniteSkills https://t.co/3fFUiwDOPS #GameDevelopment","","","","https://www.safaribooksonline.com/library/view/creating-3d-vr/9781491969816/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804430037264928768","","","2016-12-01 21:00:41 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","Stage Management Basics #FocalPress https://t.co/XMq9jua9Ah #ProjectManagement","","","","https://www.safaribooksonline.com/library/view/stage-management-basics/9781317336525/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804430023134326784","","","2016-12-01 21:00:37 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","Understanding SQL and R #InfiniteSkills https://t.co/Qu3R3vX7zx #R","","","","https://www.safaribooksonline.com/library/view/understanding-sql-and/9781491970294/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804430009318289408","","","2016-12-01 21:00:34 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","Swift 3 Protocol-Oriented Programming - Second Edition #PacktPublishing https://t.co/q9yYRFvQk9 #Swift","","","","https://www.safaribooksonline.com/library/view/swift-3-protocol-oriented/9781787129948/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804429994998972416","","","2016-12-01 21:00:31 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","macOS Sierra: The Missing Manual #OReillyMedia https://t.co/bvkGkWS8WN #MacOSX","","","","https://www.safaribooksonline.com/library/view/macos-sierra-the/9781491977224/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804429980851548160","","","2016-12-01 21:00:27 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","Data Science and Artificial Intelligence #TechnicsPublications https://t.co/9Vrt6ySdb0 #Analytics","","","","https://www.safaribooksonline.com/library/view/data-science-and/9781634621908/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804429963185164288","","","2016-12-01 21:00:23 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","Empowering Business Users to Lead with Data by Denise McInerney #TechnicsPublications https://t.co/6L8X8TKYnZ #Analytics","","","","https://www.safaribooksonline.com/library/view/empowering-business-users/9781634621922/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
